date,city,country,parameter,value,unit,latitude,longitude,year,month,day_of_week,is_weekend,season
2020-01-26,New York,USA,O3,43.96,µg/m³,40.7128,-74.006,2020,1,6,1,Verão
2020-01-27,New York,USA,O3,58.0,µg/m³,40.7128,-74.006,2020,1,0,0,Verão
2020-01-28,New York,USA,O3,69.92,µg/m³,40.7128,-74.006,2020,1,1,0,Verão
2020-01-29,New York,USA,O3,41.03,µg/m³,40.7128,-74.006,2020,1,2,0,Verão
2020-01-30,New York,USA,O3,44.61,µg/m³,40.7128,-74.006,2020,1,3,0,Verão
2020-01-31,New York,USA,O3,51.29,µg/m³,40.7128,-74.006,2020,1,4,0,Verão
2020-02-01,New York,USA,O3,47.77,µg/m³,40.7128,-74.006,2020,2,5,1,Verão
2020-02-02,New York,USA,O3,47.95,µg/m³,40.7128,-74.006,2020,2,6,1,Verão
2020-02-03,New York,USA,O3,35.33,µg/m³,40.7128,-74.006,2020,2,0,0,Verão
2020-02-04,New York,USA,O3,62.3,µg/m³,40.7128,-74.006,2020,2,1,0,Verão
2020-02-05,New York,USA,O3,59.94,µg/m³,40.7128,-74.006,2020,2,2,0,Verão
2020-02-06,New York,USA,O3,39.71,µg/m³,40.7128,-74.006,2020,2,3,0,Verão
2020-02-07,New York,USA,O3,71.41,µg/m³,40.7128,-74.006,2020,2,4,0,Verão
2020-02-08,New York,USA,O3,73.78,µg/m³,40.7128,-74.006,2020,2,5,1,Verão
2020-02-09,New York,USA,O3,49.6,µg/m³,40.7128,-74.006,2020,2,6,1,Verão
2020-02-10,New York,USA,O3,68.91,µg/m³,40.7128,-74.006,2020,2,0,0,Verão
2020-02-11,New York,USA,O3,51.65,µg/m³,40.7128,-74.006,2020,2,1,0,Verão
2020-02-12,New York,USA,O3,59.32,µg/m³,40.7128,-74.006,2020,2,2,0,Verão
2020-02-13,New York,USA,O3,49.28,µg/m³,40.7128,-74.006,2020,2,3,0,Verão
2020-02-14,New York,USA,O3,79.9,µg/m³,40.7128,-74.006,2020,2,4,0,Verão
2020-02-15,New York,USA,O3,54.92,µg/m³,40.7128,-74.006,2020,2,5,1,Verão
2020-02-16,New York,USA,O3,59.27,µg/m³,40.7128,-74.006,2020,2,6,1,Verão
2020-02-17,New York,USA,O3,51.25,µg/m³,40.7128,-74.006,2020,2,0,0,Verão
2020-02-18,New York,USA,O3,76.86,µg/m³,40.7128,-74.006,2020,2,1,0,Verão
2020-02-19,New York,USA,O3,77.23,µg/m³,40.7128,-74.006,2020,2,2,0,Verão
2020-02-20,New York,USA,O3,74.78,µg/m³,40.7128,-74.006,2020,2,3,0,Verão
2020-02-21,New York,USA,O3,68.15,µg/m³,40.7128,-74.006,2020,2,4,0,Verão
2020-02-22,New York,USA,O3,52.44,µg/m³,40.7128,-74.006,2020,2,5,1,Verão
2020-02-23,New York,USA,O3,67.08,µg/m³,40.7128,-74.006,2020,2,6,1,Verão
2020-02-24,New York,USA,O3,58.83,µg/m³,40.7128,-74.006,2020,2,0,0,Verão
2020-02-25,New York,USA,O3,72.13,µg/m³,40.7128,-74.006,2020,2,1,0,Verão
2020-02-26,New York,USA,O3,70.26,µg/m³,40.7128,-74.006,2020,2,2,0,Verão
2020-02-27,New York,USA,O3,52.71,µg/m³,40.7128,-74.006,2020,2,3,0,Verão
2020-02-28,New York,USA,O3,68.77,µg/m³,40.7128,-74.006,2020,2,4,0,Verão
2020-02-29,New York,USA,O3,66.21,µg/m³,40.7128,-74.006,2020,2,5,1,Verão
2020-03-01,New York,USA,O3,31.74,µg/m³,40.7128,-74.006,2020,3,6,1,Outono
2020-03-02,New York,USA,O3,67.57,µg/m³,40.7128,-74.006,2020,3,0,0,Outono
2020-03-03,New York,USA,O3,55.33,µg/m³,40.7128,-74.006,2020,3,1,0,Outono
2020-03-04,New York,USA,O3,50.87,µg/m³,40.7128,-74.006,2020,3,2,0,Outono
2020-03-05,New York,USA,O3,51.38,µg/m³,40.7128,-74.006,2020,3,3,0,Outono
2020-03-06,New York,USA,O3,58.53,µg/m³,40.7128,-74.006,2020,3,4,0,Outono
2020-03-07,New York,USA,O3,64.76,µg/m³,40.7128,-74.006,2020,3,5,1,Outono
2020-03-08,New York,USA,O3,46.38,µg/m³,40.7128,-74.006,2020,3,6,1,Outono
2020-03-09,New York,USA,O3,62.0,µg/m³,40.7128,-74.006,2020,3,0,0,Outono
2020-03-10,New York,USA,O3,65.93,µg/m³,40.7128,-74.006,2020,3,1,0,Outono
2020-03-11,New York,USA,O3,78.85,µg/m³,40.7128,-74.006,2020,3,2,0,Outono
2020-03-12,New York,USA,O3,49.52,µg/m³,40.7128,-74.006,2020,3,3,0,Outono
2020-03-13,New York,USA,O3,56.85,µg/m³,40.7128,-74.006,2020,3,4,0,Outono
2020-03-14,New York,USA,O3,63.02,µg/m³,40.7128,-74.006,2020,3,5,1,Outono
2020-03-15,New York,USA,O3,71.93,µg/m³,40.7128,-74.006,2020,3,6,1,Outono
2020-03-16,New York,USA,O3,57.46,µg/m³,40.7128,-74.006,2020,3,0,0,Outono
2020-03-17,New York,USA,O3,72.53,µg/m³,40.7128,-74.006,2020,3,1,0,Outono
2020-03-18,New York,USA,O3,41.22,µg/m³,40.7128,-74.006,2020,3,2,0,Outono
2020-03-19,New York,USA,O3,48.1,µg/m³,40.7128,-74.006,2020,3,3,0,Outono
2020-03-20,New York,USA,O3,64.15,µg/m³,40.7128,-74.006,2020,3,4,0,Outono
2020-03-21,New York,USA,O3,46.59,µg/m³,40.7128,-74.006,2020,3,5,1,Outono
2020-03-22,New York,USA,O3,48.99,µg/m³,40.7128,-74.006,2020,3,6,1,Outono
2020-03-23,New York,USA,O3,55.48,µg/m³,40.7128,-74.006,2020,3,0,0,Outono
2020-03-24,New York,USA,O3,68.5,µg/m³,40.7128,-74.006,2020,3,1,0,Outono
2020-03-25,New York,USA,O3,41.85,µg/m³,40.7128,-74.006,2020,3,2,0,Outono
2020-03-26,New York,USA,O3,62.53,µg/m³,40.7128,-74.006,2020,3,3,0,Outono
2020-03-27,New York,USA,O3,71.18,µg/m³,40.7128,-74.006,2020,3,4,0,Outono
2020-03-28,New York,USA,O3,58.91,µg/m³,40.7128,-74.006,2020,3,5,1,Outono
2020-03-29,New York,USA,O3,57.19,µg/m³,40.7128,-74.006,2020,3,6,1,Outono
2020-03-30,New York,USA,O3,64.9,µg/m³,40.7128,-74.006,2020,3,0,0,Outono
2020-03-31,New York,USA,O3,58.97,µg/m³,40.7128,-74.006,2020,3,1,0,Outono
2020-04-01,New York,USA,O3,74.79,µg/m³,40.7128,-74.006,2020,4,2,0,Outono
2020-04-02,New York,USA,O3,49.77,µg/m³,40.7128,-74.006,2020,4,3,0,Outono
2020-04-03,New York,USA,O3,60.37,µg/m³,40.7128,-74.006,2020,4,4,0,Outono
2020-04-04,New York,USA,O3,62.93,µg/m³,40.7128,-74.006,2020,4,5,1,Outono
2020-04-05,New York,USA,O3,57.08,µg/m³,40.7128,-74.006,2020,4,6,1,Outono
2020-04-06,New York,USA,O3,32.14,µg/m³,40.7128,-74.006,2020,4,0,0,Outono
2020-04-07,New York,USA,O3,59.23,µg/m³,40.7128,-74.006,2020,4,1,0,Outono
2020-04-08,New York,USA,O3,69.82,µg/m³,40.7128,-74.006,2020,4,2,0,Outono
2020-04-09,New York,USA,O3,68.58,µg/m³,40.7128,-74.006,2020,4,3,0,Outono
2020-04-10,New York,USA,O3,64.32,µg/m³,40.7128,-74.006,2020,4,4,0,Outono
2020-04-11,New York,USA,O3,49.77,µg/m³,40.7128,-74.006,2020,4,5,1,Outono
2020-04-12,New York,USA,O3,64.67,µg/m³,40.7128,-74.006,2020,4,6,1,Outono
2020-04-13,New York,USA,O3,54.95,µg/m³,40.7128,-74.006,2020,4,0,0,Outono
2020-04-14,New York,USA,O3,64.18,µg/m³,40.7128,-74.006,2020,4,1,0,Outono
2020-04-15,New York,USA,O3,61.83,µg/m³,40.7128,-74.006,2020,4,2,0,Outono
2020-04-16,New York,USA,O3,50.8,µg/m³,40.7128,-74.006,2020,4,3,0,Outono
2020-04-17,New York,USA,O3,51.6,µg/m³,40.7128,-74.006,2020,4,4,0,Outono
2020-04-18,New York,USA,O3,64.03,µg/m³,40.7128,-74.006,2020,4,5,1,Outono
2020-04-19,New York,USA,O3,58.21,µg/m³,40.7128,-74.006,2020,4,6,1,Outono
2020-04-20,New York,USA,O3,51.97,µg/m³,40.7128,-74.006,2020,4,0,0,Outono
2020-04-21,New York,USA,O3,51.09,µg/m³,40.7128,-74.006,2020,4,1,0,Outono
2020-04-22,New York,USA,O3,57.22,µg/m³,40.7128,-74.006,2020,4,2,0,Outono
2020-04-23,New York,USA,O3,75.88,µg/m³,40.7128,-74.006,2020,4,3,0,Outono
2020-04-24,New York,USA,O3,54.87,µg/m³,40.7128,-74.006,2020,4,4,0,Outono
2020-04-25,New York,USA,O3,59.92,µg/m³,40.7128,-74.006,2020,4,5,1,Outono
2020-04-26,New York,USA,O3,61.01,µg/m³,40.7128,-74.006,2020,4,6,1,Outono
2020-04-27,New York,USA,O3,48.61,µg/m³,40.7128,-74.006,2020,4,0,0,Outono
2020-04-28,New York,USA,O3,42.22,µg/m³,40.7128,-74.006,2020,4,1,0,Outono
2020-04-29,New York,USA,O3,49.5,µg/m³,40.7128,-74.006,2020,4,2,0,Outono
2020-04-30,New York,USA,O3,62.16,µg/m³,40.7128,-74.006,2020,4,3,0,Outono
2020-05-01,New York,USA,O3,60.48,µg/m³,40.7128,-74.006,2020,5,4,0,Outono
2020-05-02,New York,USA,O3,66.54,µg/m³,40.7128,-74.006,2020,5,5,1,Outono
2020-05-03,New York,USA,O3,60.4,µg/m³,40.7128,-74.006,2020,5,6,1,Outono
2020-05-04,New York,USA,O3,58.25,µg/m³,40.7128,-74.006,2020,5,0,0,Outono
2020-05-05,New York,USA,O3,53.21,µg/m³,40.7128,-74.006,2020,5,1,0,Outono
2020-05-06,New York,USA,O3,68.0,µg/m³,40.7128,-74.006,2020,5,2,0,Outono
2020-05-07,New York,USA,O3,49.86,µg/m³,40.7128,-74.006,2020,5,3,0,Outono
2020-05-08,New York,USA,O3,47.85,µg/m³,40.7128,-74.006,2020,5,4,0,Outono
2020-05-09,New York,USA,O3,64.52,µg/m³,40.7128,-74.006,2020,5,5,1,Outono
2020-05-10,New York,USA,O3,45.41,µg/m³,40.7128,-74.006,2020,5,6,1,Outono
2020-05-11,New York,USA,O3,82.79,µg/m³,40.7128,-74.006,2020,5,0,0,Outono
2020-05-12,New York,USA,O3,59.33,µg/m³,40.7128,-74.006,2020,5,1,0,Outono
2020-05-13,New York,USA,O3,61.89,µg/m³,40.7128,-74.006,2020,5,2,0,Outono
2020-05-14,New York,USA,O3,50.22,µg/m³,40.7128,-74.006,2020,5,3,0,Outono
2020-05-15,New York,USA,O3,55.03,µg/m³,40.7128,-74.006,2020,5,4,0,Outono
2020-05-16,New York,USA,O3,53.8,µg/m³,40.7128,-74.006,2020,5,5,1,Outono
2020-05-17,New York,USA,O3,52.53,µg/m³,40.7128,-74.006,2020,5,6,1,Outono
2020-05-18,New York,USA,O3,64.15,µg/m³,40.7128,-74.006,2020,5,0,0,Outono
2020-05-19,New York,USA,O3,53.2,µg/m³,40.7128,-74.006,2020,5,1,0,Outono
2020-05-20,New York,USA,O3,67.74,µg/m³,40.7128,-74.006,2020,5,2,0,Outono
2020-05-21,New York,USA,O3,84.07,µg/m³,40.7128,-74.006,2020,5,3,0,Outono
2020-05-22,New York,USA,O3,54.35,µg/m³,40.7128,-74.006,2020,5,4,0,Outono
2020-05-23,New York,USA,O3,58.7,µg/m³,40.7128,-74.006,2020,5,5,1,Outono
2020-05-24,New York,USA,O3,60.84,µg/m³,40.7128,-74.006,2020,5,6,1,Outono
2020-05-25,New York,USA,O3,75.02,µg/m³,40.7128,-74.006,2020,5,0,0,Outono
2020-05-26,New York,USA,O3,55.94,µg/m³,40.7128,-74.006,2020,5,1,0,Outono
2020-05-27,New York,USA,O3,48.34,µg/m³,40.7128,-74.006,2020,5,2,0,Outono
2020-05-28,New York,USA,O3,43.82,µg/m³,40.7128,-74.006,2020,5,3,0,Outono
2020-05-29,New York,USA,O3,55.76,µg/m³,40.7128,-74.006,2020,5,4,0,Outono
2020-05-30,New York,USA,O3,51.71,µg/m³,40.7128,-74.006,2020,5,5,1,Outono
2020-05-31,New York,USA,O3,76.15,µg/m³,40.7128,-74.006,2020,5,6,1,Outono
2020-06-01,New York,USA,O3,73.6,µg/m³,40.7128,-74.006,2020,6,0,0,Inverno
2020-06-02,New York,USA,O3,45.41,µg/m³,40.7128,-74.006,2020,6,1,0,Inverno
2020-06-03,New York,USA,O3,48.49,µg/m³,40.7128,-74.006,2020,6,2,0,Inverno
2020-06-04,New York,USA,O3,56.19,µg/m³,40.7128,-74.006,2020,6,3,0,Inverno
2020-06-05,New York,USA,O3,69.27,µg/m³,40.7128,-74.006,2020,6,4,0,Inverno
2020-06-06,New York,USA,O3,55.71,µg/m³,40.7128,-74.006,2020,6,5,1,Inverno
2020-06-07,New York,USA,O3,48.51,µg/m³,40.7128,-74.006,2020,6,6,1,Inverno
2020-06-08,New York,USA,O3,54.24,µg/m³,40.7128,-74.006,2020,6,0,0,Inverno
2020-06-09,New York,USA,O3,48.38,µg/m³,40.7128,-74.006,2020,6,1,0,Inverno
2020-06-10,New York,USA,O3,60.53,µg/m³,40.7128,-74.006,2020,6,2,0,Inverno
2020-06-11,New York,USA,O3,47.26,µg/m³,40.7128,-74.006,2020,6,3,0,Inverno
2020-06-12,New York,USA,O3,49.08,µg/m³,40.7128,-74.006,2020,6,4,0,Inverno
2020-06-13,New York,USA,O3,65.64,µg/m³,40.7128,-74.006,2020,6,5,1,Inverno
2020-06-14,New York,USA,O3,46.17,µg/m³,40.7128,-74.006,2020,6,6,1,Inverno
2020-06-15,New York,USA,O3,39.23,µg/m³,40.7128,-74.006,2020,6,0,0,Inverno
2020-06-16,New York,USA,O3,54.48,µg/m³,40.7128,-74.006,2020,6,1,0,Inverno
2020-06-17,New York,USA,O3,49.75,µg/m³,40.7128,-74.006,2020,6,2,0,Inverno
2020-06-18,New York,USA,O3,58.31,µg/m³,40.7128,-74.006,2020,6,3,0,Inverno
2020-06-19,New York,USA,O3,56.2,µg/m³,40.7128,-74.006,2020,6,4,0,Inverno
2020-06-20,New York,USA,O3,52.54,µg/m³,40.7128,-74.006,2020,6,5,1,Inverno
2020-06-21,New York,USA,O3,52.08,µg/m³,40.7128,-74.006,2020,6,6,1,Inverno
2020-06-22,New York,USA,O3,45.16,µg/m³,40.7128,-74.006,2020,6,0,0,Inverno
2020-06-23,New York,USA,O3,53.18,µg/m³,40.7128,-74.006,2020,6,1,0,Inverno
2020-06-24,New York,USA,O3,60.99,µg/m³,40.7128,-74.006,2020,6,2,0,Inverno
2020-06-25,New York,USA,O3,42.27,µg/m³,40.7128,-74.006,2020,6,3,0,Inverno
2020-06-26,New York,USA,O3,51.78,µg/m³,40.7128,-74.006,2020,6,4,0,Inverno
2020-06-27,New York,USA,O3,62.05,µg/m³,40.7128,-74.006,2020,6,5,1,Inverno
2020-06-28,New York,USA,O3,56.55,µg/m³,40.7128,-74.006,2020,6,6,1,Inverno
2020-01-01,Los Angeles,USA,PM2.5,30.15,µg/m³,34.0522,-118.2437,2020,1,2,0,Verão
2020-01-02,Los Angeles,USA,PM2.5,14.81,µg/m³,34.0522,-118.2437,2020,1,3,0,Verão
2020-01-03,Los Angeles,USA,PM2.5,38.56,µg/m³,34.0522,-118.2437,2020,1,4,0,Verão
2020-01-04,Los Angeles,USA,PM2.5,22.86,µg/m³,34.0522,-118.2437,2020,1,5,1,Verão
2020-01-05,Los Angeles,USA,PM2.5,48.44,µg/m³,34.0522,-118.2437,2020,1,6,1,Verão
2020-01-06,Los Angeles,USA,PM2.5,40.68,µg/m³,34.0522,-118.2437,2020,1,0,0,Verão
2020-01-07,Los Angeles,USA,PM2.5,25.58,µg/m³,34.0522,-118.2437,2020,1,1,0,Verão
2020-01-08,Los Angeles,USA,PM2.5,43.03,µg/m³,34.0522,-118.2437,2020,1,2,0,Verão
2020-01-09,Los Angeles,USA,PM2.5,31.07,µg/m³,34.0522,-118.2437,2020,1,3,0,Verão
2020-01-10,Los Angeles,USA,PM2.5,39.09,µg/m³,34.0522,-118.2437,2020,1,4,0,Verão
2020-01-11,Los Angeles,USA,PM2.5,35.58,µg/m³,34.0522,-118.2437,2020,1,5,1,Verão
2020-01-12,Los Angeles,USA,PM2.5,22.44,µg/m³,34.0522,-118.2437,2020,1,6,1,Verão
2020-01-13,Los Angeles,USA,PM2.5,24.64,µg/m³,34.0522,-118.2437,2020,1,0,0,Verão
2020-01-14,Los Angeles,USA,PM2.5,41.54,µg/m³,34.0522,-118.2437,2020,1,1,0,Verão
2020-01-15,Los Angeles,USA,PM2.5,28.06,µg/m³,34.0522,-118.2437,2020,1,2,0,Verão
2020-01-16,Los Angeles,USA,PM2.5,27.54,µg/m³,34.0522,-118.2437,2020,1,3,0,Verão
2020-01-17,Los Angeles,USA,PM2.5,22.19,µg/m³,34.0522,-118.2437,2020,1,4,0,Verão
2020-01-18,Los Angeles,USA,PM2.5,36.14,µg/m³,34.0522,-118.2437,2020,1,5,1,Verão
2020-01-19,Los Angeles,USA,PM2.5,52.7,µg/m³,34.0522,-118.2437,2020,1,6,1,Verão
2020-01-20,Los Angeles,USA,PM2.5,21.56,µg/m³,34.0522,-118.2437,2020,1,0,0,Verão
2020-01-21,Los Angeles,USA,PM2.5,32.64,µg/m³,34.0522,-118.2437,2020,1,1,0,Verão
2020-01-22,Los Angeles,USA,PM2.5,46.68,µg/m³,34.0522,-118.2437,2020,1,2,0,Verão
2020-01-23,Los Angeles,USA,PM2.5,31.92,µg/m³,34.0522,-118.2437,2020,1,3,0,Verão
2020-01-24,Los Angeles,USA,PM2.5,37.4,µg/m³,34.0522,-118.2437,2020,1,4,0,Verão
2020-01-25,Los Angeles,USA,PM2.5,22.41,µg/m³,34.0522,-118.2437,2020,1,5,1,Verão
2020-01-26,Los Angeles,USA,PM2.5,37.48,µg/m³,34.0522,-118.2437,2020,1,6,1,Verão
2020-01-27,Los Angeles,USA,PM2.5,31.48,µg/m³,34.0522,-118.2437,2020,1,0,0,Verão
2020-01-28,Los Angeles,USA,PM2.5,43.36,µg/m³,34.0522,-118.2437,2020,1,1,0,Verão
2020-01-29,Los Angeles,USA,PM2.5,45.53,µg/m³,34.0522,-118.2437,2020,1,2,0,Verão
2020-01-30,Los Angeles,USA,PM2.5,59.7,µg/m³,34.0522,-118.2437,2020,1,3,0,Verão
2020-01-31,Los Angeles,USA,PM2.5,39.76,µg/m³,34.0522,-118.2437,2020,1,4,0,Verão
2020-02-01,Los Angeles,USA,PM2.5,37.37,µg/m³,34.0522,-118.2437,2020,2,5,1,Verão
2020-02-02,Los Angeles,USA,PM2.5,36.2,µg/m³,34.0522,-118.2437,2020,2,6,1,Verão
2020-02-03,Los Angeles,USA,PM2.5,30.87,µg/m³,34.0522,-118.2437,2020,2,0,0,Verão
2020-02-04,Los Angeles,USA,PM2.5,37.93,µg/m³,34.0522,-118.2437,2020,2,1,0,Verão
2020-02-05,Los Angeles,USA,PM2.5,31.73,µg/m³,34.0522,-118.2437,2020,2,2,0,Verão
2020-02-06,Los Angeles,USA,PM2.5,36.51,µg/m³,34.0522,-118.2437,2020,2,3,0,Verão
2020-02-07,Los Angeles,USA,PM2.5,48.14,µg/m³,34.0522,-118.2437,2020,2,4,0,Verão
2020-02-08,Los Angeles,USA,PM2.5,25.04,µg/m³,34.0522,-118.2437,2020,2,5,1,Verão
2020-02-09,Los Angeles,USA,PM2.5,46.64,µg/m³,34.0522,-118.2437,2020,2,6,1,Verão
2020-02-10,Los Angeles,USA,PM2.5,48.55,µg/m³,34.0522,-118.2437,2020,2,0,0,Verão
2020-02-11,Los Angeles,USA,PM2.5,34.33,µg/m³,34.0522,-118.2437,2020,2,1,0,Verão
2020-02-12,Los Angeles,USA,PM2.5,14.42,µg/m³,34.0522,-118.2437,2020,2,2,0,Verão
2020-02-13,Los Angeles,USA,PM2.5,29.69,µg/m³,34.0522,-118.2437,2020,2,3,0,Verão
2020-02-14,Los Angeles,USA,PM2.5,48.86,µg/m³,34.0522,-118.2437,2020,2,4,0,Verão
2020-02-15,Los Angeles,USA,PM2.5,35.79,µg/m³,34.0522,-118.2437,2020,2,5,1,Verão
2020-02-16,Los Angeles,USA,PM2.5,26.14,µg/m³,34.0522,-118.2437,2020,2,6,1,Verão
2020-02-17,Los Angeles,USA,PM2.5,31.21,µg/m³,34.0522,-118.2437,2020,2,0,0,Verão
2020-02-18,Los Angeles,USA,PM2.5,44.78,µg/m³,34.0522,-118.2437,2020,2,1,0,Verão
2020-02-19,Los Angeles,USA,PM2.5,41.96,µg/m³,34.0522,-118.2437,2020,2,2,0,Verão
2020-02-20,Los Angeles,USA,PM2.5,34.21,µg/m³,34.0522,-118.2437,2020,2,3,0,Verão
2020-02-21,Los Angeles,USA,PM2.5,33.05,µg/m³,34.0522,-118.2437,2020,2,4,0,Verão
2020-02-22,Los Angeles,USA,PM2.5,32.91,µg/m³,34.0522,-118.2437,2020,2,5,1,Verão
2020-02-23,Los Angeles,USA,PM2.5,27.71,µg/m³,34.0522,-118.2437,2020,2,6,1,Verão
2020-02-24,Los Angeles,USA,PM2.5,53.19,µg/m³,34.0522,-118.2437,2020,2,0,0,Verão
2020-02-25,Los Angeles,USA,PM2.5,33.91,µg/m³,34.0522,-118.2437,2020,2,1,0,Verão
2020-02-26,Los Angeles,USA,PM2.5,49.41,µg/m³,34.0522,-118.2437,2020,2,2,0,Verão
2020-02-27,Los Angeles,USA,PM2.5,52.55,µg/m³,34.0522,-118.2437,2020,2,3,0,Verão
2020-02-28,Los Angeles,USA,PM2.5,47.41,µg/m³,34.0522,-118.2437,2020,2,4,0,Verão
2020-02-29,Los Angeles,USA,PM2.5,33.2,µg/m³,34.0522,-118.2437,2020,2,5,1,Verão
2020-03-01,Los Angeles,USA,PM2.5,41.65,µg/m³,34.0522,-118.2437,2020,3,6,1,Outono
2020-03-02,Los Angeles,USA,PM2.5,37.45,µg/m³,34.0522,-118.2437,2020,3,0,0,Outono
2020-03-03,Los Angeles,USA,PM2.5,28.74,µg/m³,34.0522,-118.2437,2020,3,1,0,Outono
2020-03-04,Los Angeles,USA,PM2.5,41.11,µg/m³,34.0522,-118.2437,2020,3,2,0,Outono
2020-03-05,Los Angeles,USA,PM2.5,26.15,µg/m³,34.0522,-118.2437,2020,3,3,0,Outono
2020-03-06,Los Angeles,USA,PM2.5,49.89,µg/m³,34.0522,-118.2437,2020,3,4,0,Outono
2020-03-07,Los Angeles,USA,PM2.5,33.44,µg/m³,34.0522,-118.2437,2020,3,5,1,Outono
2020-03-08,Los Angeles,USA,PM2.5,40.17,µg/m³,34.0522,-118.2437,2020,3,6,1,Outono
2020-03-09,Los Angeles,USA,PM2.5,41.06,µg/m³,34.0522,-118.2437,2020,3,0,0,Outono
2020-03-10,Los Angeles,USA,PM2.5,35.71,µg/m³,34.0522,-118.2437,2020,3,1,0,Outono
2020-03-11,Los Angeles,USA,PM2.5,44.23,µg/m³,34.0522,-118.2437,2020,3,2,0,Outono
2020-03-12,Los Angeles,USA,PM2.5,33.67,µg/m³,34.0522,-118.2437,2020,3,3,0,Outono
2020-03-13,Los Angeles,USA,PM2.5,47.19,µg/m³,34.0522,-118.2437,2020,3,4,0,Outono
2020-03-14,Los Angeles,USA,PM2.5,25.07,µg/m³,34.0522,-118.2437,2020,3,5,1,Outono
2020-03-15,Los Angeles,USA,PM2.5,39.85,µg/m³,34.0522,-118.2437,2020,3,6,1,Outono
2020-03-16,Los Angeles,USA,PM2.5,58.02,µg/m³,34.0522,-118.2437,2020,3,0,0,Outono
2020-03-17,Los Angeles,USA,PM2.5,28.68,µg/m³,34.0522,-118.2437,2020,3,1,0,Outono
2020-03-18,Los Angeles,USA,PM2.5,31.94,µg/m³,34.0522,-118.2437,2020,3,2,0,Outono
2020-03-19,Los Angeles,USA,PM2.5,43.9,µg/m³,34.0522,-118.2437,2020,3,3,0,Outono
2020-03-20,Los Angeles,USA,PM2.5,40.6,µg/m³,34.0522,-118.2437,2020,3,4,0,Outono
2020-03-21,Los Angeles,USA,PM2.5,42.34,µg/m³,34.0522,-118.2437,2020,3,5,1,Outono
2020-03-22,Los Angeles,USA,PM2.5,43.76,µg/m³,34.0522,-118.2437,2020,3,6,1,Outono
2020-03-23,Los Angeles,USA,PM2.5,45.24,µg/m³,34.0522,-118.2437,2020,3,0,0,Outono
2020-03-24,Los Angeles,USA,PM2.5,50.02,µg/m³,34.0522,-118.2437,2020,3,1,0,Outono
2020-03-25,Los Angeles,USA,PM2.5,43.04,µg/m³,34.0522,-118.2437,2020,3,2,0,Outono
2020-03-26,Los Angeles,USA,PM2.5,36.55,µg/m³,34.0522,-118.2437,2020,3,3,0,Outono
2020-03-27,Los Angeles,USA,PM2.5,45.71,µg/m³,34.0522,-118.2437,2020,3,4,0,Outono
2020-03-28,Los Angeles,USA,PM2.5,57.99,µg/m³,34.0522,-118.2437,2020,3,5,1,Outono
2020-03-29,Los Angeles,USA,PM2.5,37.68,µg/m³,34.0522,-118.2437,2020,3,6,1,Outono
2020-03-30,Los Angeles,USA,PM2.5,29.27,µg/m³,34.0522,-118.2437,2020,3,0,0,Outono
2020-03-31,Los Angeles,USA,PM2.5,50.09,µg/m³,34.0522,-118.2437,2020,3,1,0,Outono
2020-04-01,Los Angeles,USA,PM2.5,37.82,µg/m³,34.0522,-118.2437,2020,4,2,0,Outono
2020-04-02,Los Angeles,USA,PM2.5,17.29,µg/m³,34.0522,-118.2437,2020,4,3,0,Outono
2020-04-03,Los Angeles,USA,PM2.5,47.49,µg/m³,34.0522,-118.2437,2020,4,4,0,Outono
2020-04-04,Los Angeles,USA,PM2.5,33.66,µg/m³,34.0522,-118.2437,2020,4,5,1,Outono
2020-04-05,Los Angeles,USA,PM2.5,38.09,µg/m³,34.0522,-118.2437,2020,4,6,1,Outono
2020-04-06,Los Angeles,USA,PM2.5,42.31,µg/m³,34.0522,-118.2437,2020,4,0,0,Outono
2020-04-07,Los Angeles,USA,PM2.5,40.88,µg/m³,34.0522,-118.2437,2020,4,1,0,Outono
2020-04-08,Los Angeles,USA,PM2.5,46.05,µg/m³,34.0522,-118.2437,2020,4,2,0,Outono
2020-04-09,Los Angeles,USA,PM2.5,34.58,µg/m³,34.0522,-118.2437,2020,4,3,0,Outono
2020-04-10,Los Angeles,USA,PM2.5,44.04,µg/m³,34.0522,-118.2437,2020,4,4,0,Outono
2020-04-11,Los Angeles,USA,PM2.5,36.29,µg/m³,34.0522,-118.2437,2020,4,5,1,Outono
2020-04-12,Los Angeles,USA,PM2.5,46.24,µg/m³,34.0522,-118.2437,2020,4,6,1,Outono
2020-04-13,Los Angeles,USA,PM2.5,44.97,µg/m³,34.0522,-118.2437,2020,4,0,0,Outono
2020-04-14,Los Angeles,USA,PM2.5,29.43,µg/m³,34.0522,-118.2437,2020,4,1,0,Outono
2020-04-15,Los Angeles,USA,PM2.5,49.6,µg/m³,34.0522,-118.2437,2020,4,2,0,Outono
2020-04-16,Los Angeles,USA,PM2.5,33.34,µg/m³,34.0522,-118.2437,2020,4,3,0,Outono
2020-04-17,Los Angeles,USA,PM2.5,46.74,µg/m³,34.0522,-118.2437,2020,4,4,0,Outono
2020-04-18,Los Angeles,USA,PM2.5,42.28,µg/m³,34.0522,-118.2437,2020,4,5,1,Outono
2020-04-19,Los Angeles,USA,PM2.5,56.94,µg/m³,34.0522,-118.2437,2020,4,6,1,Outono
2020-04-20,Los Angeles,USA,PM2.5,36.27,µg/m³,34.0522,-118.2437,2020,4,0,0,Outono
